Timestamp (millisec since midnight today),Test time,pwm_duty_limb0_fwd,pwm_duty_limb0_rev,pwm_duty_limb1_fwd,pwm_duty_limb1_rev,unconstrained_pwm_duty_lim0_fwd,unconstrained_pwm_duty_lim0_rev,unconstrained_pwm_duty_lim1_fwd,unconstrained_pwm_duty_lim1_rev,u_setpoint_limb0,u_setpoint_limb1,temp_limit,Bendlabs_0,Bendlabs_1,MCPtemp_0,MCPtemp_1,MCPtemp_2,MCPtemp_3,tagid_x_101,tagid_y_101,tagid_x_102,tagid_y_102,tagid_x_103,tagid_y_103,tagid_x_104,tagid_y_104,tagid_x_105,tagid_y_105,tagid_x_106,tagid_y_106,tagid_x_107,tagid_y_107,tagid_x_108,tagid_y_108,tagid_x_109,tagid_y_109
62579300,11.008,0.35,0,0.35,0,0.35,0,0.35,0,0.35,0.35,115,0,0,29.75,54.25,78.56,30,33.636662927295,54.1382237589695,109.650825214693,70.5540643572819,167.44445230728,99.4110152588566,218.901259587923,138.672711206169,272.399722689983,189.301886843916,325.811333734218,244.525331043917,366.579352531946,295.338682623216,393.650471513299,343.340354277142,419.914738034783,395.854367994561
62579501,11.208,0.35,0,0.35,0,0.35,0,0.35,0,0.35,0.35,115,0,0,29.69,54.13,80.44,30,33.6953211817139,54.1298468739292,109.645585691162,70.6239702999489,167.221112140306,99.8274204166295,218.298020430047,139.517239407372,271.213802383702,190.675267761444,324.027577002349,246.400033577121,363.918960624396,297.74903620835,389.824621712096,346.353838457194,414.569346569096,399.490907976107
62579700,11.408,0.35,0,0.35,0,0.35,0,0.35,0,0.35,0.35,115,0,0,29.69,54.13,80.44,30,33.5213785303158,54.1030962570441,109.367061140332,70.4629077432467,166.675648546786,100.522375507293,216.75293831922,141.424889328191,268.163774950084,193.930260588126,319.373019539884,250.987528572118,357.020533623925,304.059560872491,380.075847395731,353.970506804186,400.801995801966,408.767854289896
62579900,11.608,0.35,0,0.35,0,0.35,0,0.35,0,0.35,0.35,115,0,0,29.63,53.81,80.63,29.94,33.5011977219296,54.1338355446043,109.299866540709,70.6962085399799,166.098704442436,101.302798758973,215.143140494764,143.563473356196,264.811275458501,197.491701557496,314.276049082382,255.902173293786,349.831446105608,310.369946781287,369.981258617391,361.222493561931,386.921397379903,417.359219329667
62580101,11.808,0.35,0,0.35,0,0.35,0,0.35,0,0.35,0.35,115,0,0,29.63,53.81,80.63,29.94,33.5867475674214,54.1578061366447,109.196817555389,70.9174742561683,165.393036730155,102.224162859314,213.01749239385,145.730109377258,260.716133893173,201.605997808892,307.769562238122,261.65870728124,340.514768101171,317.752256338983,357.567175704209,369.846057721562,370.301017273875,427.036754136225
62580300,12.008,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0.25,115,0,0,29.63,53.81,80.63,29.94,33.6109544555667,54.1813395341037,109.079726119578,71.131770945392,164.821094878291,103.068343826708,211.32049457645,147.612742731017,257.344157112375,204.841584924629,302.672970147466,266.096198646396,333.564884929746,323.079093757867,348.632862696395,375.696832785791,359.022002656711,433.188972368745
62580500,12.208,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0.25,115,0,0,29.56,54,85.63,29.88,33.6682425968892,54.2315032146485,109.09144021588,71.1022961787554,164.783521911651,103.192353433496,210.799719662701,148.049921703106,256.072921920051,205.892641243486,300.574421655959,267.689474283368,330.51800770241,325.163478085644,344.340549418105,378.307736536482,353.143151178891,436.096570784441
62580700,12.408,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0.25,115,0,0,29.56,54,85.63,29.88,33.6561996342477,54.2051792530434,108.936606066914,71.2004202900532,164.203907871234,104.004241776973,209.120852990241,149.856512826134,252.847884424017,208.735941360691,295.747893756982,271.624698498371,323.891665843616,329.90558079793,336.062295439525,383.10436778212,342.660980527518,441.372133084378
62580900,12.608,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0.25,115,0,0,29.56,55.63,88.44,29.88,33.7493457415229,54.2097942821697,108.925359330822,71.1471013518268,164.10602101826,104.026420889004,208.766371305785,150.127063360558,251.834435881958,209.419221704297,294.088813322048,272.717117422325,321.544758857605,331.430311055015,332.696912845164,384.988078194714,338.042871085094,443.298859025431
62581100,12.81,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0.25,115,0,0,29.56,55.63,88.44,29.88,33.7193279436749,54.1735928172293,108.887398110489,71.1613199277452,163.667005762327,104.521880530101,207.333090391222,151.454754261291,248.978652249036,211.773561290923,289.680571592374,275.9913299265,315.680769729307,335.350288420499,325.364439252243,389.215803522896,328.897847164412,447.827473070335
